sampleID	variable1	variable2	variable3
BLANK1_PLATE1	blank	blank	blank
BLANK1_PLATE2	blank	blank	blank
BLANK1_PLATE3	blank	blank	blank
BLANK1_PLATE4	blank	blank	blank
BLANK2_PLATE1	blank	blank	blank
BLANK2_PLATE2	blank	blank	blank
BLANK2_PLATE3	blank	blank	blank
BLANK2_PLATE4	blank	blank	blank
sample004	n	y	y
sample012	n	y	y
sample013	n	y	y
sample017	n	n	y
sample019	y	n	y
sample021	y	n	y
sample024	y	n	y
sample025	y	n	y
sample027_ASP	y	n	y
sample027	y	n	y
sample029	y	y	n
sample031	y	y	n
sample033	y	y	y
sample036	y	y	y
sample037	y	y	y
sample040_ASP	y	y	y
sample040	y	y	y
sample041	n	y	n
sample042	n	y	n
sample043_ASP	y	y	n
sample043	y	y	n
sample044	y	y	n
sample045	y	y	y
sample048	y	n	y
sample053	y	n	y
sample059	y	y	y
sample060	y	y	y
sample061	y	y	y
sample068	n	y	y
sample077	n	y	y
sample078	n	y	y
sample079	n	y	y
sample084	n	y	y
sample088	n	y	y
sample091	n	n	y
sample092_ASP	y	n	n
sample092	y	n	n
sample094	y	n	y
sample095	y	n	y
sample096	y	n	y
sample097	y	n	y
sample098	y	y	y
sample099	y	y	n
sample100_ASP	y	y	n
sample100	y	n	n
sample101	y	n	n
sample102	y	n	n
sample103	y	n	y
sample104	y	n	y
sample105_ASP	y	y	y
sample105	y	y	y
sample106	y	y	y
sample107	n	y	y
sample108	n	y	y
sample109_ASP	n	y	y
sample109	n	y	y
sample110_ASP	n	y	y
sample110	n	y	y
sample111	n	y	y
sample112	n	y	y
sample113	n	y	n
sample114	y	y	n
sample115	y	n	y
sample116_ASP	y	n	y
sample116	y	y	y
sample117	y	n	y
sample118_ASP	y	n	y
sample118	y	n	n
sample120	y	n	n
sample121	y	n	n
sample122_ASP	y	y	n
sample122	y	y	n
sample123	y	y	y
sample124	y	y	y
sample125	n	y	y
sample126	n	y	y
sample128	y	y	y
sample129	y	y	y
sample130	y	y	y
sample131	y	y	y
sample132	y	y	y
sample133	y	y	y
sample134	y	y	y
sample135	y	n	y
sample136	y	n	y
sample137	y	y	n
sample138	y	y	n
sample139	y	y	y
sample140	y	y	y
sample141	y	y	y
sample142	y	y	y
sample143	y	y	y
