row_names	ASV1	ASV2	ASV3	ASV4	ASV5	ASV6	ASV7	ASV8	ASV9	ASV10
BLANK1_PLATE1	0	0	0	0	0	0	0	0	0	0
BLANK1_PLATE2	0	0	0	0	44	0	0	0	0	0
BLANK1_PLATE3	0	0	0	0	64	0	0	0	0	0
BLANK1_PLATE4	0	0	0	0	0	0	0	0	0	0
BLANK2_PLATE1	0	0	0	0	0	0	0	0	0	0
BLANK2_PLATE2	0	0	0	0	0	0	0	0	0	0
BLANK2_PLATE3	0	0	0	0	0	0	0	0	0	0
BLANK2_PLATE4	0	0	0	0	0	0	0	0	0	0
sample004	479	0	0	0	742	0	0	0	0	0
sample012	0	0	0	0	0	0	0	0	0	0
sample013	0	0	209	0	284	0	0	0	0	0
sample017	0	0	0	0	0	0	0	0	0	0
sample019	0	0	0	0	0	0	0	0	0	82
sample021	0	0	0	0	0	0	0	0	0	0
sample024	0	0	0	0	0	0	0	0	0	329
sample025	721	0	0	0	0	0	0	0	0	0
sample027_ASP	2400	3453	0	1950	0	0	0	0	0	0
sample027	0	0	1760	0	0	0	1108	0	0	0
sample029	0	0	0	0	1254	0	0	0	0	0
sample031	0	0	0	0	0	0	0	0	0	2504
sample033	4741	0	0	0	0	0	0	0	0	0
sample036	0	0	0	0	0	0	0	0	0	3761
sample037	0	0	0	0	273	0	0	0	0	13
sample040_ASP	4347	3252	0	0	0	0	0	0	0	0
sample040	78	0	0	0	0	0	0	0	0	0
sample041	0	0	334	0	0	0	0	0	0	2426
sample042	0	0	0	0	0	4	0	0	0	0
sample043_ASP	8660	6910	0	9132	0	0	0	0	115	334
sample043	0	0	502	0	952	0	0	0	0	0
sample044	0	0	0	0	258	0	0	0	0	0
sample045	0	0	0	0	0	0	294	0	0	0
sample048	2429	0	0	0	0	0	0	0	0	23
sample053	0	0	0	695	0	0	0	0	0	0
sample059	0	0	819	0	0	0	0	0	0	0
sample060	0	0	0	0	0	0	0	0	0	0
sample061	0	0	0	0	0	0	0	0	0	0
sample068	0	0	446	0	0	0	0	0	0	0
sample077	0	0	0	0	0	0	0	0	0	0
sample078	0	0	0	0	1478	0	276	0	0	0
sample079	0	0	96	0	137	0	0	0	0	0
sample084	0	0	0	0	0	0	177	0	0	0
sample088	0	0	488	0	25	0	0	0	0	0
sample091	842	0	0	0	0	0	0	0	0	0
sample092_ASP	3317	4301	0	2982	0	0	0	0	0	43
sample092	271	0	94	0	3763	0	0	0	0	0
sample094	0	0	0	0	0	0	0	0	0	0
sample095	0	0	283	0	0	0	0	0	0	0
sample096	0	0	458	0	0	0	508	0	0	0
sample097	5457	0	0	0	0	0	0	0	0	0
sample098	199	0	0	0	0	0	162	0	0	0
sample099	0	0	546	0	0	0	0	436	0	0
sample100_ASP	4776	3699	0	0	0	0	0	0	0	0
sample100	0	0	159	0	0	0	0	0	0	0
sample101	530	0	0	0	0	0	0	0	0	0
sample102	158	0	0	0	0	0	0	0	0	0
sample103	0	0	0	0	0	0	0	0	0	0
sample104	0	0	0	0	0	0	0	0	0	0
sample105_ASP	6614	5015	0	0	0	0	0	0	0	26
sample105	2243	0	188	0	0	0	0	0	0	0
sample106	308	0	0	0	0	0	296	0	0	0
sample107	0	0	146	0	0	0	0	0	0	0
sample108	3033	0	0	0	0	0	0	0	0	0
sample109_ASP	4260	6557	0	3757	0	0	0	0	69	0
sample109	0	0	0	0	2169	0	0	0	0	0
sample110_ASP	5359	2850	0	1682	0	0	0	0	4240	0
sample110	335	0	342	0	0	0	0	0	0	0
sample111	0	0	0	0	200	0	0	0	0	0
sample112	0	0	0	0	688	0	0	0	0	0
sample113	339	0	0	0	0	0	136	0	0	0
sample114	0	0	0	0	251	0	0	0	0	0
sample115	0	0	0	0	732	0	0	0	0	0
sample116_ASP	9035	5602	0	3030	0	0	0	0	7885	42
sample116	2727	0	0	0	0	0	184	0	0	0
sample117	0	0	185	0	0	0	0	0	0	0
sample118_ASP	6767	4920	0	0	0	0	0	0	0	168
sample118	0	0	0	0	0	0	0	0	0	0
sample120	1125	0	0	0	0	0	0	0	0	0
sample121	2009	0	949	0	296	413	682	360	0	398
sample122_ASP	7624	6128	0	0	0	0	0	0	0	65
sample122	0	0	86	0	0	0	0	0	0	0
sample123	1640	0	229	0	0	0	0	0	0	0
sample124	0	0	0	0	0	0	0	0	0	0
sample125	489	0	0	0	0	0	0	0	0	0
sample126	0	0	0	0	0	0	0	0	0	83
sample128	0	0	0	0	0	0	0	0	0	0
sample129	0	837	1120	0	0	0	0	0	0	0
sample130	0	0	0	0	6432	0	112	0	0	0
sample131	0	0	0	0	13986	0	0	0	0	0
sample132	0	0	0	0	2194	0	0	0	0	0
sample133	906	0	0	0	0	0	0	0	0	0
sample134	0	182	0	0	0	0	674	230	0	0
sample135	0	0	245	0	270	0	0	0	0	0
sample136	341	0	398	0	0	0	0	0	0	384
sample137	0	0	66	0	0	0	0	0	0	0
sample138	0	0	0	0	0	0	0	0	0	0
sample139	0	0	1096	0	0	0	1252	0	0	0
sample140	0	0	476	0	413	0	0	0	0	0
sample141	72	0	0	0	0	0	0	0	0	0
sample142	0	0	0	0	0	0	0	174	0	0
sample143	0	0	0	0	0	0	0	0	0	0
